"X1.04745931505517" "X0.712829416415242"
"978" 1 1
"979" 1 1
"980" 1 1
"981" 0 1
"982" 1 1
"983" 1 1
"984" 1 1
"985" 0 0
"986" 0 0
"987" 1 1
"988" 1 1
"989" 0 0
"990" 1 1
"991" 1 1
"992" 0 0
"993" 0 0
"994" 1 1
"995" 0 0
"996" -1 -1
"997" 0 0
"998" 0 0
"999" 1 1
"1000" 0 1
"1001" 0 0
"1002" 1 1
"1003" 1 1
"1004" 1 1
"1005" 1 1
"1006" 1 1
"1007" 0 0
"1008" 0 0
"1009" 0 0
"1010" 0 0
"1011" 1 0
"1012" 1 1
"1013" 1 1
"1014" 1 1
"1015" 1 1
"1016" 1 1
"1017" 1 1
"1018" 0 0
"1019" 0 -1
"1020" 0 -1
"1021" 0 0
"1022" -1 -1
"1023" 1 0
"1024" 1 1
"1025" 0 -1
"1026" -1 -1
"1027" 1 1
"1028" -1 -1
"1029" 1 1
"1030" 1 1
"1031" 1 0
"1032" 1 1
"1033" 1 1
"1034" 1 1
"1035" 0 0
"1036" 0 0
"1037" 1 0
"1038" 1 1
"1039" 1 1
"1040" 1 1
"1041" 0 0
"1042" 1 1
"1043" 1 1
"1044" 0 0
"1045" 1 1
"1046" 1 1
"1047" 0 0
"1048" 0 0
"1049" 0 0
"1050" 0 0
"1051" 0 0
"1052" 1 1
"1053" 0 0
"1054" 1 1
"1055" 0 0
"1056" 1 1
"1057" 1 1
"1058" 1 1
"1059" 0 0
"1060" 0 0
"1061" 0 0
"1062" 0 0
"1063" -1 -1
"1064" 0 0
"1065" 1 1
"1066" 1 1
"1067" 0 0
"1068" 1 1
"1069" 1 1
"1070" 1 1
"1071" 1 1
"1072" 1 1
"1073" -1 -1
"1074" 1 1
"1075" 1 1
"1076" 0 0
"1077" 1 1
"1078" 1 1
"1079" -1 -1
"1080" 1 1
"1081" 1 1
"1082" 1 1
"1083" 1 1
"1084" 1 1
"1085" 0 1
"1086" 0 -1
"1087" 1 1
"1088" 0 0
"1089" 0 0
"1090" 0 0
"1091" 0 0
"1092" 0 0
"1093" -1 -1
"1094" 1 1
"1095" 0 0
"1096" 0 0
